ID,Title,Novelty,Novelty_Justification,Tractability,Tractability_Justification,Feasibility,Feasibility_Justification,Confidence,Confidence_Justification,Ecological_Impact,Ecological_Impact_Justification,Skill_Fit,Skill_Fit_Justification,Aggregate
BF-11,Spruce budworm defoliation mapping lags behind outbreak timeline,5,Well-studied with many Sentinel-2 papers. The prediction component (forecasting outbreak front movement) is less developed but not absent.,5,Early defoliation hard to distinguish from phenological variation and drought stress. Spectral signal improves with severity but that's too late for early intervention.,6,Sentinel-2 data freely available. Aerial survey data for validation exists. Existing ML classifiers and spectral indices identified. Lower barrier to entry than some other problems.,5,Detection improvement is likely incremental. The real breakthrough would be predicting where outbreaks spread next season which requires population dynamics modeling beyond spectral analysis.,7,Current outbreak in Quebec/Atlantic Canada affects millions of hectares. SBW is the most destructive insect pest in North American boreal forests. Economic and ecological costs are massive.,7,Spectral classification and time series analysis and ML prediction models. Strong computational fit. But entomological domain knowledge needed for population dynamics modeling.,5.8
BF-12,Boreal wetland classification inadequate for carbon and biodiversity assessments,5,Heavily studied area with many SAR-optical fusion papers. Boreal peatland sub-type classification is more specific but still well-explored. Novelty is incremental.,6,Multi-temporal SAR helps discriminate wetland types. Deep learning outperforms traditional classifiers. Clear improvement pathway. But transferability across boreal regions is poor -- models trained in one area fail elsewhere.,5,Data available but training labels for peatland sub-types are scarce and require expert field identification. Creating a pan-boreal training dataset is a multi-year effort requiring multiple field campaigns.,5,Incremental improvement likely. But the spectral/SAR similarity of peatland sub-types (especially treed bog vs. treed fen) may be a fundamental limit for satellite-based classification.,7,Bogs and fens have fundamentally different carbon dynamics and biodiversity value. Misclassification means carbon accounting errors and mis-targeted restoration spending.,7,Multi-sensor fusion and deep learning classification are core ML competencies. SAR processing and time series analysis fit well.,5.8
BF-13,Caribou habitat loss monitored at coarse scales but not at management resolution,5,Caribou habitat mapping is well-studied in conservation biology. Multi-scale computational integration is less developed but the components all exist individually.,5,Requires combining landscape-level disturbance (Landsat) with stand-level structure (LiDAR) and ground-level lichen cover. Multiple scales and multiple data sources with different spatial resolutions.,5,Satellite data available but linear feature mapping at scale requires significant processing effort. Lichen ground-truthing requires field work. Connectivity modeling needs population data.,5,Better habitat maps would improve management decisions but caribou population response to habitat quality involves predator-prey dynamics and other factors beyond habitat alone.,8,Caribou are legally threatened across Canada. Federal policy requires 65% undisturbed habitat. Getting habitat quality wrong has direct regulatory consequences. Flagship species for boreal conservation.,6,Remote sensing + GIS + connectivity modeling. Solid computational fit but ecological interpretation of habitat quality for caribou requires domain expertise. [SKILL FIT BIAS: ecological knowledge is binding],5.7
BF-14,Russia's boreal forest monitoring is a data black hole,7,Satellite-only monitoring with uncertainty quantification for a validation-free zone is genuinely novel as a computational challenge. Transfer learning across boreal regions is underexplored.,4,Fundamental problem is absence of ground truth. Transfer learning from Canadian/Fennoscandian boreal is plausible but inherently unvalidatable in the target domain. You can't test what you can't access.,4,Satellite data is available globally. Processing infrastructure exists. But without Russian collaboration there is no path to field validation. Geopolitical situation shows no signs of resolving.,4,Real risk that satellite-only products for Russia will have unknown and potentially large systematic errors. Without validation you cannot know whether your models transfer correctly.,8,Russia holds 65% of global boreal forest and ~50% of permafrost. If Siberian fire emissions are under-counted or permafrost thaw is unmonitored the global carbon budget is wrong.,6,Domain adaptation and uncertainty quantification are good ML problems. But the scale is enormous and the validation gap may be unfillable. The constraint is access not computation.,5.5
BF-15,SIF-based drought stress monitoring in boreal forests promising but unvalidated,6,SIF for drought is emerging research. Boreal-specific validation is thin. The early-warning angle (detecting stress before structural damage) is novel for boreal conifers.,6,TROPOMI SIF data available since 2018. Signal-drought relationship being established in other biomes. Downscaling from 7 km to ecologically meaningful scales is a well-defined computational problem.,6,Satellite data freely available. Validation possible at boreal flux tower sites (Hyytiala in Finland and SOBS in Saskatchewan). Lower logistical barrier than most field-dependent problems.,5,SIF-drought relationship established elsewhere but boreal conifers have unique physiology -- sustained greenness under drought stress and winter photosynthesis shutdown. Transfer may not work cleanly.,6,Drought stress detection enables proactive management (bark beetle monitoring and fire readiness) but the causal chain from detection to conservation action is indirect. Not an existential ecological question.,7,Satellite data analysis and ML regression and sensor fusion/downscaling are core competencies. Tower-based validation is straightforward if site access is arranged.,6.0
BF-16,Intact forest landscapes shrinking faster than they are being protected,5,IFL monitoring exists (GFW). Conservation planning tools exist (Marxan/Zonation). Applying predictive fragmentation modeling to boreal IFL protection is somewhat novel but not groundbreaking.,6,Clear data inputs: road networks and concession boundaries and fire probability and connectivity metrics. Spatial optimization tools are mature and well-documented. Problem is well-posed.,6,GFW data freely available. Forestry concession data available in Canada and Fennoscandia (not Russia). Conservation planning software is open-source. Compute manageable.,6,High confidence that spatial prioritization can identify high-value IFLs at risk. Less confidence that computational outputs translate to actual protection decisions. The bottleneck is political will not analysis.,8,IFLs are the most ecologically intact remnants of the boreal biome. Their loss is irreversible on management timescales. Permafrost carbon under IFLs adds climate urgency.,6,Spatial optimization and GIS and predictive modeling. Good computational fit. But conservation planning has its own methodological traditions that need to be respected.,6.2
BF-17,Indigenous Guardian programs need purpose-built computational tools,8,Very few examples of computational tools designed from the ground up for Indigenous monitoring frameworks rather than adapted from industry. A genuine design-research gap.,4,This is as much a social and participatory design problem as a technical one. OCAP principles and data sovereignty and cultural integration are not ML problems. The technical component is the easier part.,4,Requires deep sustained engagement with Indigenous communities. Cannot be done as a solo computational project. Long timescales (years) and relationship-building are prerequisites.,4,Real risk that a computationally-designed tool fails to serve community needs. Tech-for-development track record is mixed. Success depends on co-design not technical sophistication.,7,Guardian programs cover vast boreal territories. Better tools could amplify monitoring capacity significantly. Cultural and ecological value of supporting Indigenous-led conservation is high.,4,Requires participatory design and social science and community engagement skills more than ML. The computational component (GIS mapping and remote sensing delivery) is secondary. [SKILL FIT BIAS: important problem penalized by computational framing],5.2
BF-18,Storm damage detection in boreal forests is slow and incomplete,4,Well-studied with many SAR papers published since 2019. L-band SAR from NISAR is the obvious next step and the data is now available. Low novelty.,7,Clean SAR change detection problem. Before/after pairs with well-defined target (canopy loss). Signal is strong for areal windthrow. Multi-frequency SAR (C+L band) is a straightforward extension.,7,Sentinel-1 and NISAR data freely available. SAR processing infrastructure is mature (SNAP/ASF). Commercial high-res SAR available for rapid response. Low barriers to entry.,7,High confidence that NISAR L-band will improve windthrow detection sensitivity especially for partial damage. Multi-frequency fusion has clear physics justification.,5,Windthrow is ecologically important for wildlife habitat and fire fuel loading but not as urgent as fire/carbon/permafrost problems. Economic importance mainly in Fennoscandia for timber salvage.,8,SAR processing + ML change detection is a clean well-defined technical problem. Multi-frequency SAR analysis is a growth area with clear computational challenges.,6.3
BF-19,Bioacoustic monitoring of boreal biodiversity limited by lack of boreal-specific ML models,7,Boreal-specific acoustic classifiers are genuinely underexplored. Foundation models for bioacoustics are emerging (2024-2025) but not tuned for boreal species assemblages or acoustic environments.,6,The ML problem is well-defined: fine-tune acoustic classifiers on boreal recordings. Transfer learning from general-purpose models to boreal-specific acoustic environments is a tractable research question.,5,Requires field deployment of recording units in boreal forests and expert annotation of recordings. Hardware is cheap (~$200/unit) but annotation is labor-intensive and requires ornithological expertise.,6,Reasonable confidence that a boreal-tuned acoustic classifier would outperform general-purpose models. BirdNET and similar tools already work moderately well -- the question is how much boreal-specific fine-tuning helps.,6,Continuous biodiversity monitoring would detect range shifts and population declines earlier than periodic field surveys. Climate-driven changes in boreal bird communities are occurring now.,8,Audio ML and transfer learning and fine-tuning foundation models are strong computational fits. The problem is well-scoped for someone with ML expertise and access to field sites.,6.3
BF-20,Mining footprint monitoring lacks ecological recovery tracking integration,5,Mine monitoring with satellites exists and is approaching operational. Ecological recovery tracking from space is less developed but conceptually straightforward. Novelty is in the long-term integration.,6,Time series analysis of NDVI and canopy height recovery with well-defined study sites (mines have clear boundaries). Recovery trajectories can be compared across sites and reclamation methods.,6,Satellite data available. Mine boundaries known. Historical imagery covers the 10-30 year timescales needed. But ground truth for ecosystem function recovery requires site access and ecological expertise.,5,NDVI recovery is straightforward to track but ecosystem function recovery (species diversity and soil development and hydrology) is much harder to assess from space. Risk of measuring cosmetic recovery only.,5,Localized impact compared to pan-boreal problems like fire or carbon sink. Individual mine sites matter but the aggregate footprint is small relative to logging or fire disturbance.,7,Time series analysis and change detection and vegetation mapping are strong computational fits. Well-defined study sites reduce logistical complexity.,5.7
